stimulus_id,filename,sha256,bytes,channels,sample_width_bytes,sample_rate_hz,frames
630,id=630_genre=popular_c-id=352_e-id=50_ic_category_1.wav,c6a8aefd62969ffb87d4d0a07dde45f2e789b9ff478132eb479b6fe2ad62b0f0,1764124,2,2,44100,441020
631,id=631_genre=popular_c-id=732_e-id=33_ic_category_1.wav,46285ea0bfb154ae183fbbe8f600c3bbdca282862bd206be3e4a7288e3c35d8e,1764124,2,2,44100,441020
632,id=632_genre=popular_c-id=683_e-id=37_ic_category_1.wav,e4e0c986f0f22af8d32900eb0052b1e677e6bf84cb0dbaf62af795df8c0caa77,1764124,2,2,44100,441020
633,id=633_genre=popular_c-id=684_e-id=13_ic_category_1.wav,0a20ebaf1f26eb376b5cbf83e85158d47c666ed69d4b5e662f758758172320c1,1764124,2,2,44100,441020
634,id=634_genre=popular_c-id=242_e-id=51_ic_category_1.wav,880e85d11661ab390650f4a58c1a07e26148a267474d417a46b08d739f2848f9,1764124,2,2,44100,441020
635,id=635_genre=popular_c-id=182_e-id=110_ic_category_1.wav,d8e6385864e8c5cc890b33c7919fe2875e8a29fcc2b624bc9911144a8320ae6b,1764124,2,2,44100,441020
636,id=636_genre=popular_c-id=399_e-id=34_ic_category_1.wav,920a5eefd228d81ef3c02c20c3f8f84bbdd72e6bd1472888de952ea9125fc5da,1764124,2,2,44100,441020
637,id=637_genre=popular_c-id=110_e-id=68_ic_category_1.wav,d1641712c783a9676683033f07276506ac01d01f3b82a3daa34758f17362c175,1764124,2,2,44100,441020
638,id=638_genre=popular_c-id=115_e-id=15_ic_category_1.wav,37b4c1dc2954e67c43f5bfd892500c4c9bf269f23af6769fccd74a73e5112ca0,1764124,2,2,44100,441020
639,id=639_genre=popular_c-id=522_e-id=200_ic_category_1.wav,b3475ac0df9e0471cb36ca630afc25ed694c128c104377cf79fc216a7f5cfed2,1764124,2,2,44100,441020
640,id=640_genre=popular_c-id=575_e-id=13_ic_category_1.wav,9eebd577ead5ade627de82cb8ce3d8186e070c9e86806e399b44763282ac7c67,1764124,2,2,44100,441020
641,id=641_genre=popular_c-id=627_e-id=33_ic_category_1.wav,087641064b44bd30ede89ce837e1dee853dabfccd79699f36a4b8add622f2766,1764124,2,2,44100,441020
642,id=642_genre=popular_c-id=44_e-id=95_ic_category_1.wav,734fc456d95e47063b297eb8f4eb16bdde217f8348f8a2c8d60884b679758724,1764124,2,2,44100,441020
643,id=643_genre=popular_c-id=77_e-id=34_ic_category_1.wav,e390a9302fc0cf44c08e398b7ea81760a03f9c328f18c75505a1b3e2f1450a33,1764124,2,2,44100,441020
